"categoryPath","heShortDesc","heDesc","heShortDescNew","heDescNew"
"קבלה","ספרות מיסטית העוסקת בתכונות של האלוהות ובקשר בין אין-סופיותו של אלוהים ובין העולם הגשמי.","קבלה היא סוגת הספרות העיקרית במיסטיקה היהודית. ספרות הקבלה כוללת שלל יצירות מימי קדם ועד ימינו העוסקות במהות האלוהים, בקשר בין אין-סופיות אלוהים ובין העולם הגשמי ובמשמעות הפנימית של התורה. אבן היסוד של הקבלה היא ""עשר הספירות"", שהן עשר תכונות הנובעות מאלוהים שבאמצעותן אלוהים ברא את העולם ופועל בו, ובני האדם יכולים להשפיע על פעולות אלוהים על ידי השפעה על הספירות.","תורת הנסתר, פנימיות התורה, העוסקת בדרכי הנהגת הבורא ובקשר שבין אין־סוף ברוך הוא ובין העולם.","הקבלה היא תורת הסוד שבתורה, פנימיות התורה. ספרות הקבלה כוללת חיבורים מימי קדם ועד ימינו העוסקים בדרכי הנהגת הבורא, בקשר שבין אין־סוף ברוך הוא ובין העולם הגשמי, ובמשמעותה הפנימית של התורה. מיסודות הקבלה הן עשר הספירות, שבהן ברא הקב""ה את עולמו ובהן הוא מנהיגו, ומעשיהם של ישראל פועלים בהן."
"קבלה/בעל הסולם","חיבורים שנכתבו במאה ה-20 על ידי רב יהודה הלוי אשלג.","הרב יהודה לייב הלוי אשלג, המכונה גם על שם ספרו ""בעל הסולם"", היה רב ומקובל שעסק בעיקר בהפצת תורת הסוד היהודית והנגשתה לציבור הרחב. הרב אשלג נולד בלוקוב (אז ברחבי רוסיה הקיסרית) ולמד בישיבת חסידות גור שבוורשה. בד בבד עם לימודו בישיבה, למד אשלג קבלה ממורה אלמוני אותו מכנה בכתביו ""מורי הקדוש זצ""ל"". לאחר פטירת מורו ב-1921, עלה אשלג לארץ ישראל והתיישב בעיר העתיקה בירושלים, שם לימד בישיבת חיי עולם. בתחילת שהותו בארץ, התפרנס מייצור סבון ועיבוד עורות לסת""ם, עד מינויו לרבה של גבעת שאול על ידי הרב קוק. עיקר הגותו של אשלג סובבת סביב הרעיון של המעבר מאגואיזם לאלטרואיזם. דהיינו, מטרת האדם בחייו היא לעבור מ""הרצון לקבל"" ל""הרצון לתת""","","הרב יהודה לייב הלוי אשלג, המכונה גם על שם ספרו ""בעל הסולם"", היה רב ומקובל, מחבר פירוש ""הסולם"" על הזוהר. הרב אשלג נולד בלוקוב (אז ברחבי רוסיה הקיסרית) ולמד בישיבת חסידות גור שבוורשה. בד בבד עם לימודו בישיבה, למד אשלג קבלה ממורה שאת שמו לא גילה, ובכתביו מכנה אותו ""מורי הקדוש זצ""ל"". לאחר פטירת רבו ב-1921, עלה אשלג לארץ ישראל והתיישב בעיר העתיקה בירושלים, שם לימד בישיבת חיי עולם. בתחילת שהותו בארץ התפרנס מייצור סבון ומעיבוד עורות לסת""ם, עד מינויו לרבה של גבעת שאול על ידי הרב קוק."
"קבלה/כתבי האר״י וחיים ויטאל","תורתו של מייסד הקבלה המודרנית רבי יצחק לוריא (הידוע בכינוי אריז""ל), כפי שתיעדו אותה במאה ה-16 תלמידיו, ובראשם רבי חיים ויטאל.","","תורתו של רבנו האר""י הקדוש, רבי יצחק לוריא, כפי שתיעדו אותה במאה ה-16 תלמידיו, ובראשם רבי חיים ויטאל.",""
"קבלה/ספר יצירה","החיבור המיסטי היהודי הקדום ביותר, המתאר כיצד האל ברא את העולם בשימוש באותיות האלפבית ובמספרים.","'ספר יצירה' הוא הספר הקדום ביותר של תורת הסוד היהודית. ספר חידתי קצר זה מתאר כיצד אלוהים ברא את היקום באמצעות 32 נתיבים פלאיים של חוכמה, המורכבים מ-22 האותיות של האלפבית העברי בתוספת עשר ה""ספירות"", אשר בתקופה מוקדמת זו מתייחסות באופן פשוט לספרות של מספרים גם כאשר היו טעונות בעקרונות מטאפיזיים. מקור הטקסט של ספר יצירה אינו ידוע ונתון במחלוקת. בהתבסס על השפה בה נכתב, חוקרים מתארכים אותו בין המאה השלישית לשישית, כאשר יש בו כמה תוספות מאוחרות יותר. יש המייחסים את מקורו לאברהם ואחרים לתנא ר' עקיבא, שעל פי התלמוד הבבלי עסק בתורת הסוד ובמיסטיקה. המסתורין שבספר וסגנונו התמציתי הפכו אותו למושא לפרשנויות רבות ומגוונות.","החיבור הקדום ביותר בתורת הנסתר, המתאר כיצד ברא הקב""ה את העולם באותיות ובמספרים.","'ספר יצירה' הוא הספר הקדום ביותר של תורת הסוד. ספר תמציתי זה מתאר כיצד ברא הקב""ה את היקום בשלושים ושתיים נתיבות פליאות חכמה, המורכבות מעשרים ושתיים אותיות האלפבית העברי ומעשר הספירות, אשר בתקופה מוקדמת זו מתייחסות גם לספרות של מספרים. מסורת ישראל מייחסת את הספר לאברהם אבינו, ויש שייחסוהו לתנא רבי עקיבא, שעל פי התלמוד הבבלי עסק בתורת הסוד. עומקו של הספר וסגנונו התמציתי הפכו אותו למושא לפירושים רבים ומגוונים."
"קבלה/רמח״ל","כתבי רבי משה חיים לוצאטו, הידוע בכינוי רמח""ל, שהיה רב מקובל והוגה חשוב באיטליה במאה ה-18.","","כתבי רבי משה חיים לוצאטו, הידוע בכינוי רמח""ל, מגדולי המקובלים וההוגים באיטליה במאה ה-18.",""
"קבלה/רמ״ק","כתבי רבי משה קורדוברו, מקובל מצפת במאה ה-16 ורבו של האריז""ל.","","",""
"שו״ת","תשובות ופסיקות הלכה שנתנו רבנים בתגובה לשאלות שקיבלו, אשר מעידות על יישום ההלכה בחיי היום־יום.","ספרות השו""ת בנויה מתשובות ופסיקות הלכה של רבנים בתגובה על שאלות שנשאלו. ראשיתה בתקופת הגאונים, וכתיבתה נמשכת עד ימינו. ספרות השו""ת ממחישה כיצד מיושמים הלכות וערכים בחיי היום־יום במקרים שטרם זכו להתייחסות מפורשת בספרות ההלכה, ולכן לעיתים קרובות התשובות משמשות תקדים למקרים עתידיים.","",""
"שו״ת/אחרונים","רבנים ופוסקי הלכה שחיו בתקופה שהחלה במאה ה-16 ונמשכה עד המאה ה-20. תשובותיהם מתמקדות בעיקר בסוגיות הלכתיות.","","",""
"שו״ת/אחרונים/רדב״ז","שאלות ותשובות מאת הרב דוד בן זמרא, רבה הראשי של מצרים במאה ה-16, הכוללות למעלה מ־2000 תשובות.","","",""
"שו״ת/אחרונים/שואל ומשיב","שאלות ותשובות מאת הרב יוסף שאול נתנזון, מגדולי רבני פולין במאה ה-19, ומהראשונים לדון בשימוש בשעון שבת (טיימר).","","",""
